"index ","country ","cases ","deaths ","serious ","critical ","recovered ","mystery "
"1","","","","","","",""
"2","CASES","","","","","",""
"3","710","6","","27","","",""
"4","","","","","","",""
"5","AUSTRALIA","","","","","",""
"6","New South Wales","307","5","5","","","Source"
"7","Queensland","144","","","","","Source"
"8","Victoria","150","","","","","Source"
"9","South Australia","42","","","","3","Source"
"10","Western Australia","52","1","","","1","Source"
"11","Tasmania","10","","","","","Source"
"12","Canberra (ACT)","4","","","","","Source"
"13","Northern Territory","1","","","","","Source"
"14","External territories","0","","","","",""
"15","Jervis Bay Territory","0","","","","",""
"16","TBD","","","","","23",""
"17","TOTAL","710","6","5","0","27",""